,2021-07-05 00:15:03.603163,2021-07-05 00:45:06.905986,2021-07-05 01:15:03.191166,2021-07-05 01:45:05.836121,2021-07-05 02:15:01.994566,2021-07-05 02:45:06.659465,2021-07-05 03:15:03.185306,2021-07-05 03:45:08.199680,2021-07-05 04:15:03.595812,2021-07-05 04:45:06.598858,2021-07-05 05:15:03.144987,2021-07-05 05:45:06.678942,2021-07-05 06:15:05.436546,2021-07-05 06:45:06.158126,2021-07-05 07:15:02.824745,2021-07-05 07:45:03.330691,2021-07-05 08:15:01.879518,2021-07-05 08:45:02.299619,2021-07-05 09:15:02.951247,2021-07-05 09:45:02.658669,2021-07-05 10:15:06.438531
/article/-collective-shines-a-light-on-romania-s-deadly-corruption-problem,,,,,,,,,,,,,,,,,,1.0,,,
/article/-google-racism-kamau-bobb-antisemitism,,,,,,,,,,,,,,,,,1.0,,,,1.0
/article/-hitler-was-right-journalist-leaves-bbc,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,
/article/-i-m-not-interested-in-moral-purity-st-vincent-interviewed,1.0,,,,,,,,,,,,,,,,,,,1.0,
/article/-i-ve-seen-the-bare-bones-of-london-interview-with-street-painter-peter-brown,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,
/article/-i-was-treated-like-a-traitor-an-interview-with-who-whistleblower-francesco-zambon,,,,,,,,,1.0,,,,,,,,1.0,,,,
/article/-orban-and-salvini-make-europe-great-again-,,,,,,6.0,,,,,,,,,,,,1.0,,,
/article/-racist-buses-snp-msp-in-fresh-rangers-storm,90.0,34.0,36.0,48.0,38.0,35.0,32.0,29.0,27.0,24.0,30.0,38.0,53.0,77.0,94.0,105.0,93.0,109.0,107.0,117.0,137.0
/article/-there-is-no-alternative-why-boris-will-keep-winning,,,,,,6.0,,,1.0,,,,,,,,,,,,
/article/-we-failed-dominic-cummings-live-blog,,,,,,,,,1.0,,,,,,,,1.0,,,,
/article/10-films-about-space,1.0,1.0,,3.0,,1.0,,,,,1.0,,1.0,2.0,1.0,,,,1.0,,3.0
/article/10-films-to-get-you-in-the-mood-for-kick-off,47.0,23.0,20.0,19.0,15.0,12.0,22.0,15.0,11.0,9.0,14.0,12.0,24.0,26.0,14.0,4.0,5.0,4.0,4.0,9.0,8.0
/article/10-iconic-films-about-news-rooms,1.0,,,,,,,,,,,,,,,,,,,,
