,Google mobile performance score,Google desktop performance score,timestamp
The Spectator,17.0,51.0,
The Telegraph,34.0,90.0,
New Statesman,2.0,23.0,
The Guardian,25.0,72.0,
UnHerd,38.0,68.0,
The Economist,3.0,66.0,
The Times,25.0,72.0,
Der Spiegel,29.0,78.0,
Guido Fawkes,16.0,43.0,
Politico,42.0,69.0,
The Spectator — next.js,53.0,79.0,
The Spectator,17.0,60.0,2021-06-17 18:12:22.419081
The Telegraph,36.0,91.0,2021-06-17 18:12:22.419081
New Statesman,3.0,20.0,2021-06-17 18:12:22.419081
The Guardian,23.0,72.0,2021-06-17 18:12:22.419081
UnHerd,40.0,69.0,2021-06-17 18:12:22.419081
The Economist,0.0,63.0,2021-06-17 18:12:22.419081
The Times,38.0,79.0,2021-06-17 18:12:22.419081
Der Spiegel,32.0,73.0,2021-06-17 18:12:22.419081
Guido Fawkes,18.0,59.0,2021-06-17 18:12:22.419081
Politico,39.0,69.0,2021-06-17 18:12:22.419081
The Spectator — next.js,40.0,80.0,2021-06-17 18:12:22.419081
