,Google mobile performance score,Google desktop performance score,timestamp
The Spectator,18.0,50.0,2021-06-21 03:04:58.015015
The Telegraph,25.0,96.0,2021-06-21 03:04:58.015015
New Statesman,3.0,19.0,2021-06-21 03:04:58.015015
The Guardian,24.0,74.0,2021-06-21 03:04:58.015015
UnHerd,40.0,68.0,2021-06-21 03:04:58.015015
The Economist,7.000000000000001,66.0,2021-06-21 03:04:58.015015
The Times,24.0,66.0,2021-06-21 03:04:58.015015
Der Spiegel,28.999999999999996,71.0,2021-06-21 03:04:58.015015
Guido Fawkes,16.0,27.0,2021-06-21 03:04:58.015015
Politico,40.0,72.0,2021-06-21 03:04:58.015015
The Spectator — next.js,53.0,81.0,2021-06-21 03:04:58.015015
