,Twitter sessions,Twitter clicks
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,2032.0
2020-01-08,,2149.285714285714
2020-01-09,,2440.8571428571427
2020-01-10,,2799.4285714285716
2020-01-11,,2100.5714285714284
2020-01-12,,2984.285714285714
2020-01-13,,3163.4285714285716
2020-01-14,,3344.4285714285716
2020-01-15,,3459.8571428571427
2020-01-16,,3498.285714285714
2020-01-17,,3151.4285714285716
2020-01-18,,3106.5714285714284
2020-01-19,,2738.1428571428573
2020-01-20,,2410.714285714286
2020-01-21,,2306.4285714285716
2020-01-22,,2273.8571428571427
2020-01-23,,3447.1428571428573
2020-01-24,,3647.8571428571427
2020-01-25,,3909.8571428571427
2020-01-26,,3260.4285714285716
2020-01-27,,3195.5714285714284
2020-01-28,,3105.8571428571427
2020-01-29,,3187.714285714286
2020-01-30,,2147.0
2020-01-31,,1914.2857142857142
2020-02-01,,2075.5714285714284
2020-02-02,,2371.285714285714
2020-02-03,,2490.1428571428573
2020-02-04,,2758.714285714286
2020-02-05,,2617.0
2020-02-06,,2634.714285714286
2020-02-07,,2744.714285714286
2020-02-08,,2483.8571428571427
2020-02-09,,2299.1428571428573
2020-02-10,,2184.5714285714284
2020-02-11,,2192.1428571428573
2020-02-12,,2259.285714285714
2020-02-13,,2182.714285714286
2020-02-14,,2269.714285714286
2020-02-15,,2381.0
2020-02-16,,2627.8571428571427
2020-02-17,,2698.8571428571427
2020-02-18,,2495.5714285714284
2020-02-19,,2478.285714285714
2020-02-20,,2463.8571428571427
2020-02-21,,2447.8571428571427
2020-02-22,,2526.4285714285716
2020-02-23,,2662.5714285714284
2020-02-24,,2760.5714285714284
2020-02-25,,2828.4285714285716
2020-02-26,,2876.5714285714284
2020-02-27,,2965.0
2020-02-28,,2914.285714285714
2020-02-29,,3462.4285714285716
2020-03-01,,3548.4285714285716
2020-03-02,,3433.4285714285716
2020-03-03,,3319.5714285714284
2020-03-04,,3266.4285714285716
2020-03-05,,2958.8571428571427
2020-03-06,,2664.285714285714
2020-03-07,11369.57142857143,2677.4285714285716
2020-03-08,17009.285714285714,3263.0
