date,@Spectator
20/05/2021,209270
21/05/2021,209274
24/05/2021,209631
24/05/2021 15:24,209658
24/05/2021 15:38,209657
24/05/2021 15:48,209658
24/05/2021 15:58,209658
24/05/2021 16:08,209658
24/05/2021 16:18,209661
24/05/2021 16:28,209664
24/05/2021 16:38,209664
24/05/2021 16:48,209664
24/05/2021 16:58,209660
24/05/2021 17:08,209661
24/05/2021 17:19,209663
24/05/2021 17:29,209666
24/05/2021 17:42,209667
24/05/2021 18:00,209668
25/05/2021 00:00,209696
25/05/2021 06:00,209697
25/05/2021 12:00,209720
25/05/2021 17:24,209742
25/05/2021 18:00,209746
25/05/2021 21:14,209757
26/05/2021 00:00,209775
26/05/2021 06:00,209764
26/05/2021 12:00,209779
26/05/2021 18:00,209798
27/05/2021 00:00,209806
27/05/2021 06:00,209789
27/05/2021 09:39,209801
27/05/2021 12:00,209816
27/05/2021 12:26,209818
27/05/2021 12:40,209819
27/05/2021 12:52,209823
27/05/2021 12:58,209824
27/05/2021 13:07,209824
27/05/2021 13:18,209823
27/05/2021 13:26,209824
27/05/2021 13:34,209823
27/05/2021 13:42,209824
27/05/2021 18:00,209821
28/05/2021 00:00,209827
28/05/2021 06:00,209812
28/05/2021 12:00,209828
28/05/2021 18:00,209834
29/05/2021 00:00,209836
29/05/2021 06:01,209832
29/05/2021 12:00,209870
29/05/2021 18:00,209887
30/05/2021 00:00,209915
30/05/2021 06:00,209906
30/05/2021 12:00,209923
30/05/2021 14:32,209923
30/05/2021 18:00,209919
30/05/2021 21:14,209923
30/05/2021 22:57,209929
31/05/2021 00:00,209936
31/05/2021 06:00,209933
31/05/2021 12:00,209964
31/05/2021 18:00,209982
01/06/2021 00:00,210033
01/06/2021 03:07,210042
01/06/2021 12:00,210075
01/06/2021 18:00,210069
02/06/2021 00:00,210074
02/06/2021 06:00,210068
02/06/2021 12:00,210079
02/06/2021 18:00,210088
03/06/2021 00:00,210113
03/06/2021 06:00,210112
03/06/2021 12:00,210150
03/06/2021 18:00,210169
04/06/2021 00:00,210189
04/06/2021 06:00,210181
04/06/2021 12:00,210201
04/06/2021 18:00,210230
05/06/2021 00:00,210251
05/06/2021 06:00,210253
05/06/2021 12:00,210275
05/06/2021 18:00,210305
06/06/2021 00:00,210324
06/06/2021 06:00,210330
06/06/2021 12:00,210356
06/06/2021 18:00,210392
07/06/2021 00:00,210407
07/06/2021 06:00,210415
07/06/2021 12:00,210427
07/06/2021 18:00,210422
08/06/2021 00:00,210436
08/06/2021 06:00,210428
10/06/2021 07:43,210909
10/06/2021 12:00,210926
10/06/2021 18:00,210931
11/06/2021 00:00,210962
11/06/2021 06:00,210979
11/06/2021 12:00,210974
11/06/2021 18:00,210981
12/06/2021 00:00,211014
12/06/2021 06:00,211019
12/06/2021 12:00,211046
12/06/2021 18:00,211063
13/06/2021 00:00,211076
13/06/2021 06:00,211082
13/06/2021 12:00,211118
13/06/2021 18:00,211148
14/06/2021 00:00,211234
14/06/2021 06:00,211248
14/06/2021 12:00,211297
14/06/2021 18:00,211258
15/06/2021 00:00,211313
15/06/2021 06:00,211310
15/06/2021 12:00,211352
15/06/2021 18:00,211400
16/06/2021 00:00,211435
16/06/2021 06:00,211449
16/06/2021 12:00,211479
16/06/2021 18:00,211511
17/06/2021 00:00,211529
17/06/2021 06:00,211545
17/06/2021 12:00,211561
17/06/2021 18:00,211585
18/06/2021 00:00,211638
18/06/2021 06:00,211647
18/06/2021 12:00,211674
18/06/2021 18:00,211696
19/06/2021 00:00,211727
19/06/2021 06:00,211738
19/06/2021 12:00,211756
19/06/2021 18:00,211772
20/06/2021 00:00,211791
20/06/2021 06:00,211802
20/06/2021 12:00,211820
20/06/2021 18:00,211823
21/06/2021 00:00,211831
21/06/2021 06:00,211830
21/06/2021 12:00,211844
21/06/2021 18:00,211851
22/06/2021 00:00,211860
22/06/2021 06:00,211853
22/06/2021 12:00,211863
22/06/2021 16:27,211872
22/06/2021 18:00,211874
23/06/2021 00:00,211882
23/06/2021 06:00,211871
23/06/2021 12:00,211867
