,spectator,FraserNelson,SpecCoffeeHouse,Spectator_LIFE
2021-05-30,7370.0,,,
2021-05-31,9283.0,,,
2021-06-01,4007.0,,,
2021-06-02,7954.0,,,
2021-06-03,8780.0,,,
2021-06-04,9309.0,,,
2021-06-05,4383.0,,,
2021-06-06,11787.0,,,
2021-06-07,17426.0,,,
2021-06-08,6170.0,,,
2021-06-09,3717.0,0.0,547.0,
2021-06-10,11201.0,2221.0,827.0,
2021-06-11,11385.0,2602.0,1159.0,
2021-06-12,7755.0,2770.0,432.0,
2021-06-13,8587.0,911.0,478.0,
2021-06-14,7482.0,0.0,400.0,
2021-06-15,6345.0,783.0,451.0,
2021-06-16,8671.0,1003.0,691.0,
2021-06-17,4329.0,657.0,790.0,
2021-06-18,6772.0,744.0,751.0,
2021-06-19,6074.0,2883.0,2908.0,
2021-06-20,5652.0,708.0,431.0,
2021-06-21,8604.0,76.0,570.0,
2021-06-22,11608.0,647.0,630.0,
2021-06-23,7669.0,1809.0,933.0,
2021-06-24,22402.0,2249.0,378.0,
2021-06-25,25963.0,3852.0,410.0,120.0
2021-06-26,15737.0,3414.0,1155.0,165.0
2021-06-27,8960.0,10372.0,1768.0,174.0
2021-06-28,5310.0,689.0,604.0,371.0
2021-06-29,5127.0,227.0,1474.0,352.0
2021-06-30,12981.0,279.0,722.0,487.0
2021-07-01,14144.0,1823.0,860.0,261.0
2021-07-02,4613.0,1094.0,639.0,147.0
2021-07-03,2792.0,2288.0,0.0,28.0
2021-07-04,2219.0,820.0,178.0,168.0
2021-07-05,1858.0,0.0,1354.0,1030.0
