,spectator,FraserNelson,SpecCoffeeHouse,Spectator_LIFE
30/05/2021,1224770,,,
31/05/2021,788167,,,
01/06/2021,548996,,,
02/06/2021,817666,,,
03/06/2021,1002913,,,
04/06/2021,1643888,,,
05/06/2021,609237,,,
06/06/2021,1008991,,,
07/06/2021,1035920,,,
08/06/2021,784507,,,
09/06/2021,614525,0,72052,
10/06/2021,1813214,418566,204062,
11/06/2021,1280944,394905,140359,
12/06/2021,978631,306249,66389,
13/06/2021,999862,74587,100378,
14/06/2021,1016645,0,70594,
15/06/2021,719295,123128,63618,
16/06/2021,1059388,121915,116754,
17/06/2021,625616,62154,94582,
18/06/2021,836781,210465,97068,
19/06/2021,711414,155491,231383,
20/06/2021,755354,95947,63575,
21/06/2021,919663,41439,108954,
22/06/2021,921393,274579,83884,
23/06/2021,1025090,145746,92151,
24/06/2021,1781959,216709,70299,
25/06/2021,1082471,295576,74366,26759
26/06/2021,1375050,727274,129613,28549
27/06/2021,1123029,333369,189981,34309
28/06/2021,855523,437952,84250,83318
