date,unique page views,ga:users,pageviews per subscriber,average
2020-03-01,74,30,2.466666666666667,
2020-03-02,31601,9956,3.174065889915629,
2020-03-03,28426,10083,2.8192006347317267,
2020-03-04,33763,10427,3.2380358684185286,2.95155873928951
2020-03-05,40029,11713,3.4174848458977203,2.960366624539957
2020-03-06,24169,9511,2.54116286405215,2.9789026243392227
2020-03-07,25185,8383,3.0042944053441487,3.0365484962798344
2020-03-08,19104,7556,2.528321863419799,3.076518300399726
2020-03-09,36864,11158,3.3038178885104856,3.1613108499091505
2020-03-10,34409,10677,3.2227217383160065,3.251659498419644
2020-03-11,38485,10940,3.5178244972577697,3.2810460119419083
2020-03-12,49444,12327,4.011032692463697,3.334968001608138
2020-03-13,34313,10812,3.1736034036256013,3.325583000878911
2020-03-14,34347,10700,3.21,3.335234741591458
2020-03-15,24702,8501,2.905775791083402,3.3161907734274823
2020-03-16,33466,10335,3.2381228834059024,3.34145244244343
2020-03-17,35693,10848,3.290283923303835,3.374514029176807
2020-03-18,36942,10915,3.3845167201099406,3.3880650395555674
2020-03-19,54593,13036,4.18786437557533,3.453366339911231
2020-03-20,41933,12315,3.405034510759237,3.53335811317489
2020-03-21,40349,12209,3.304857072651323,3.5879301324659036
2020-03-22,32546,9678,3.362884893573052,3.6110170071500605
2020-03-23,50256,13232,3.7980652962515116,3.586438561414066
2020-03-24,48342,13164,3.67228805834093,3.6132974232054447
2020-03-25,42323,11935,3.5461248428990366,3.6355760189052533
2020-03-26,57386,14290,4.015815255423373,3.593265020970782
2020-03-27,44852,12483,3.5930465432988865,3.5517142483414506
2020-03-28,45873,13255,3.460807242549981,3.4967383609999625
2020-03-29,29744,9699,3.0667079080317556,3.431893505956164
2020-03-30,45969,13107,3.507209887846189,3.3829505102834374
2020-03-31,42852,13035,3.287456846950518,3.3415688892739306
2020-04-01,39302,12710,3.092210857592447,3.3028533178752935
2020-04-02,55539,15120,3.6732142857142858,3.404154496076384
2020-04-03,42085,12740,3.303375196232339,3.4185547613792773
2020-04-04,39209,12292,3.1897982427595184,3.42002931970395
2020-04-05,38283,10139,3.7758161554393923,3.426265479741723
2020-04-06,51609,14304,3.608011744966443,3.396950898096151
2020-04-07,44985,13641,3.297778755223224,3.409563326290754
2020-04-08,39653,12645,3.1358639778568604,3.42462190057991
2020-04-09,46565,13427,3.4680122141952783,3.3408780617327105
2020-04-10,37912,11178,3.3916621935945606,3.2276016985293814
2020-04-11,38923,11812,3.2952082627836097,3.1991338558573372
2020-04-12,29960,9393,3.189609283508996,3.2049498973472743
2020-04-13,30994,11010,2.8150772025431428,3.2636736617701936
2020-04-14,33343,10761,3.098503856518911,3.265263417671533
2020-04-15,37131,11689,3.176576268286423,3.2455424186359307
2020-04-16,57422,14803,3.879078565155712,3.185928234057544
2020-04-17,44631,13116,3.4027904849039343,3.2821990835013373
2020-04-18,39193,12414,3.1571612695343965,3.3207402063144724
2020-04-19,25971,9368,2.7723099914602902,3.315822468496394
2020-04-20,45088,12923,3.4889731486496944,3.2484542525482567
2020-04-21,42491,12615,3.36829171621086,3.1858207061345283
2020-04-22,38837,12360,3.1421521035598707,3.1727172216958324
2020-04-23,48516,14238,3.4075010535187524,3.192376610333986
2020-04-24,37840,12765,2.964355660007834,3.1387366690318905
2020-04-25,40381,13173,3.0654368784635238,3.1087717833189297
2020-04-26,28203,9692,2.9099257119273627,3.1702130439241603
2020-04-27,39641,12732,3.11349355953503,3.24563554824249
2020-04-28,41380,13101,3.158537516220136,3.2778695492239094
2020-04-29,47743,13365,3.5722409277964835,3.2995107637563614
2020-04-30,60244,15308,3.93545858374706,3.293236371020903
2020-05-01,40296,12632,3.1899936668777706,3.2713928276202866
2020-05-02,40826,12691,3.2169253801906863,3.259557621830421
2020-05-03,27720,9672,2.866004962779156,3.2065431703827443
2020-05-04,36809,12433,2.9605887557307167,3.1549786781333586
2020-05-05,39944,12987,3.0756910756910756,3.1931536722497094
2020-05-06,43814,13687,3.2011397676627458,3.1714852518017014
2020-05-07,52581,14710,3.5745071380013598,3.15715046705001
2020-05-08,44325,12821,3.4572186256922235,3.144870618008237
2020-05-09,41295,13472,3.0652464370546317,3.148426048872415
2020-05-10,29623,10711,2.7656614695173185,3.11438648535797
2020-05-11,37856,13169,2.874629812438302,3.1040280373574904
2020-05-12,40692,13124,3.100579091740323,3.087526197510171
2020-05-13,37258,12575,2.9628628230616303,3.0809675242609376
2020-05-14,49077,14014,3.501998001998002,3.078200559241009
2020-05-15,42042,12581,3.3417057467609887,3.0903231964528386
2020-05-16,38726,12826,3.0193357243099954,3.0816822323769246
2020-05-17,25557,9306,2.746292714377821,3.1168227697319018
2020-05-18,37476,12663,2.9594882729211087,3.1940282231595174
2020-05-19,39506,12995,3.0400923432089266,3.2147036165689977
2020-05-20,40117,12502,3.2088465845464724,3.259978549699814
2020-05-21,59537,14728,4.042436175991309,3.3584984161634375
2020-05-22,44459,12752,3.4864335006273524,3.492940201938359
2020-05-23,46354,13894,3.336260256225709,3.625023800317986
2020-05-24,38479,11199,3.4359317796231807,3.6411035028048393
2020-05-25,51043,13086,3.90058077334556,3.6613225041803603
2020-05-26,62519,15769,3.96467753186632,3.6562268533382816
2020-05-27,49283,14838,3.3214045019544414,3.6553944685215756
2020-05-28,68433,16356,4.183969185619956,3.614635019182042
2020-05-29,47203,13679,3.450763944732802,3.527036248779958
2020-05-30,47472,14254,3.3304335625087695,3.408880267309184
2020-05-31,33009,10477,3.1506156342464444,3.406449678503292
2020-06-01,44577,13560,3.2873893805309735,3.3976047429668332
2020-06-02,47616,15176,3.1375856615709012,3.45227577033135
2020-06-03,47266,14304,3.3043903803131993,3.490565511639093
