,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
0,2021-06-24,3823,,8677.0,,,,,,,,,,,,,,
1,2021-06-23,12030,214.0,5894.0,36.30810994231422,,,,,,,,,,,,,
2,2021-06-22,12776,182.0,5244.0,34.706331045003814,,,,,,,,,,,,,
3,2021-06-21,12318,181.0,6332.0,28.584965255843336,,,,,,,,,,,,,
4,2021-06-20,7979,171.0,6525.0,26.20689655172414,30.27945350361834,7312.0,177.0,150256.0,248424.0,127.0,44.0,,,,,,
5,2021-06-19,6909,178.0,6697.0,26.579065253098403,30.585892469992057,6308.0,184.0,150129.0,248380.0,138.0,40.0,,,,,,
6,2021-06-18,8487,185.0,6417.0,28.829671185912417,32.60010448655656,7726.0,242.0,149991.0,248340.0,136.0,49.0,,,,,,
7,2021-06-17,9183,202.0,6571.0,30.74113529143205,34.0945395893068,8420.0,213.0,149855.0,248291.0,143.0,59.0,,,,,,
8,2021-06-16,9148,177.0,4603.0,38.45318270693026,35.738814553190615,8380.0,216.0,149712.0,248232.0,123.0,54.0,,,,,,
9,2021-06-15,8851,188.0,3852.0,48.80581516095535,35.9302765114149,8125.0,194.0,149589.0,248178.0,140.0,48.0,,,,,,
10,2021-06-14,8677,185.0,4738.0,39.04601097509497,36.57365681818932,7900.0,232.0,149449.0,248130.0,119.0,62.0,,,,,,
11,2021-06-13,5894,187.0,4958.0,37.71682129891085,39.74756365718944,5368.0,149.0,149330.0,248068.0,136.0,51.0,,,,,,
12,2021-06-12,5244,137.0,4907.0,27.91929896066843,43.17224021466302,4783.0,148.0,149194.0,248017.0,95.0,42.0,,,,,,
13,2021-06-11,6332,144.0,4320.0,33.333333333333336,44.99026972973075,5703.0,217.0,149099.0,247975.0,99.0,45.0,,,,,,
14,2021-06-10,6525,162.0,3059.0,52.95848316443282,46.03913987371759,5927.0,171.0,149000.0,247930.0,127.0,35.0,7312.0,17.368708971553612,,177.0,197.74011299435028,
15,2021-06-09,6697,158.0,2531.0,62.42591860924536,46.50067204977359,6040.0,184.0,148873.0,247895.0,115.0,43.0,6308.0,18.230818008877616,,184.0,233.69565217391306,
16,2021-06-08,6417,147.0,2389.0,61.532021766429466,46.98376441959193,5760.0,169.0,148758.0,247852.0,101.0,46.0,7726.0,13.072741392699974,,242.0,190.0826446280992,
